c Problem:    
c Rows:       48
c Columns:    48
c Non-zeros:  268
c Status:     INTEGER OPTIMAL
c Objective:  OBJ = 35 (MINimum)
c
s mip 48 48 o 35
i 1 1
i 2 1
i 3 0
i 4 0
i 5 0
i 6 0
i 7 0
i 8 0
i 9 0
i 10 0
i 11 0
i 12 1
i 13 0
i 14 2
i 15 0
i 16 6
i 17 0
i 18 12
i 19 0
i 20 21
i 21 3
i 22 0
i 23 1
i 24 2
i 25 4
i 26 0
i 27 0
i 28 0
i 29 4
i 30 0
i 31 0
i 32 0
i 33 0
i 34 1
i 35 10
i 36 3
i 37 2
i 38 0
i 39 0
i 40 0
i 41 0
i 42 2
i 43 0
i 44 1
i 45 1
i 46 1
i 47 1
i 48 1
j 1 35
j 2 0
j 3 1
j 4 0
j 5 0
j 6 0
j 7 0
j 8 0
j 9 0
j 10 1
j 11 0
j 12 0
j 13 0
j 14 0
j 15 0
j 16 0
j 17 0
j 18 0
j 19 2
j 20 0
j 21 0
j 22 0
j 23 1
j 24 6
j 25 12
j 26 1
j 27 0
j 28 0
j 29 0
j 30 18
j 31 0
j 32 0
j 33 1
j 34 0
j 35 26
j 36 0
j 37 0
j 38 0
j 39 0
j 40 10
j 41 12
j 42 22
j 43 26
j 44 29
j 45 13
j 46 22
j 47 26
j 48 31
e o f
